unnamed_2,unnamed_3,bat_integrada,bateria_hsa_26,as_2,ak_10,ak_20,ak_30_s,ap_200_s,ap_300_s,ap_500_s
,LK 45 (FSA 45/ HSA 45/ BGA 45),210 / 210 / 300,-,-,-,-,-,-,-,
,Carregador HSA 25,-,180,-,-,-,-,-,-,
,AL 1,-,-, 55 / 70,-,-,-,-,-,
,AL 101,-,-,-,70 / 95,135 / 180,160 / 205,150 / 200,230 / 300,
,AL 301,-,-,-,25 / 40,30 / 50,35 / 60,40 / 55,55 / 80,70/90
,AL 500,-,-,-,30 / 45,35 / 55,35 / 60,30 / 45,30 / 45,40/55
,HSA 26,-,-,80 a 120,-,-,-,-,-,-
,HSA 30.0,-,-,50,-,-,-,-,-,-
,HSA 40.0,-,-,80,-,-,-,-,-,-
,GTA 26,-,-,25,-,-,-,-,-,-
,SEA 20.0,-,-,14,-,-,-,-,-,-
,FSA 30.0,-,-,19,-,-,-,-,-,-
,ASA 20,-,-,2000 cortes,-,-,-,-,-,-
,BGA 30,-,-,8-25,-,-,-,-,-,-
,RCA 20,-,-,"7,5-15",-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-
,FSA 45,12 a 20,-,-,-,-,-,-,-,-
,HSA 45,40,-,-,-,-,-,-,-,-
,BGA 45,10,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-
,"MSA 60,0 C",-,-,-,18,40,55,-,-,-
,MSA 70.0 C,-,-,-,18,40,45,-,-,-
,FSA 57,-,-,-,25,50,60,-,-,-
,HSA 50,-,-,-,50,100,130,-,-,-
,HSA 56,-,-,-,55,100,120,-,-,-
,HLA 56,-,-,-,50,100,120,,,
,HTA 50,-,-,-,25,45,60,,,
,SHA 56,-,-,-,12,25,30,,,
,BGA 50,-,-,-,10-55,20-115,25-140,-,-,
,REA 60 PLUS,-,-,-,10-12,11-20,12-25,-,-,-
,Nível 2,,,,não recomendado,16,20,,,
,Nível 1,,,,não recomendado,26,30,,,
,MSA 160.0 C-B,-,-,-,-,-,-,42,62,74
,MSA 200.0 C-B,-,-,-,-,-,-,32,37,44
,MAS 300,-,-,-,-,-,-,-,-,20-44
,MSA 161 T,-,-,-,-,-,-,42,62,74
,HTA 86,-,-,-,-,-,-,42,68,82
,HTA 135,-,-,-,-,-,-,36,70,80
,FSA 86,-,-,-,-,-,-,35,52,62
,FSA 86 R (lâmina),-,-,-,-,-,-,35,52,62
,FSA 86 R (PolyCut),-,-,-,-,-,-,60,85,102
,FSA 135,-,-,-,-,-,-,28,45,120
,KMA 135 R,-,-,-,-,-,-,30,47,54
,KMA 135 R (lâmina),-,-,-,-,-,-,14-28,22-45,26-54
,KMA 135 R (PolyCut),-,-,-,-,-,-,30-50,50-100,60-120
,HSA 100,-,-,-,-,-,-,150,225,270
,HLA 66,-,-,-,-,-,-,144,223,268
,BGA 86,-,-,-,-,-,-,18-105,26-150,31-175
,SPA 65,-,-,-,-,-,-,100,190,-
,REA 100 PLUS,-,-,-,-,-,-,12-30,14-45,17-50
,TSA 230.1,,,,,,,18,20,24
,Nível 2,,,,,,,18,28,33
,Nível 1,,,,,,,30,45,54
,Boost,-,-,-,-,-,-,26,20,25
,Nível 3,-,-,-,-,-,-,26,28,34
,Nível 2,-,-,-,-,-,-,24,36,42
,Nível 1,-,-,-,-,-,-,31,50,58
,GTA 26,-,-,80,-,-,-,-,-,-
,RMA 235.1,-,-,-,100,200,300,-,-,-
,RMA 460,-,-,-,-,230,350,-,-,-
,RMA 460 V,-,-,-,-,200,300,-,-,-
,RMA 510,-,-,-,-,-,-,350,500,580
,RMA 510 V,-,-,-,-,-,-,300,425,500
