unnamed_2,codigo_material,preco_real,qtde_min,descricao,cilindrada_cm3,pot,unnamed_10,sabre,corrente,unnamed_13,unnamed_14,capacidade_do_tanque_de_combustivel_l,capacidade_do_tanque_de_oleo_l,peso_kg,s,t,ipi,ncm_classif_fiscal,cod_barras
,1148-200-0249,1199,1,"MS 162 Motosserra,61PMM3",30.1,1.3,1.8,30, Picco Micro Mini,0.375,1.1,0.396,0.28,4.5,1,10,5.2,84678100,795711989866
,1148-200-0244,1399,1,"MS 172 Motosserra,35cm/14"",61PMM3",31.8,1.5,2,35,Picco Micro Mini,3/8,1.1,0.396,0.28,4.5,1,10,5.2,84678100,795711985431
,1148-200-0245,1498.99,1,"MS 172 C-BE Motosserra,35cm/14"",61PMM3",31.8,1.5,2,35,Picco Micro Mini,3/8,1.1,0.396,0.28,4.8,1,10,5.2,84678100,795711985455
,1148-200-0246,1599,1,"MS 182 Motosserra,40cm/16"",63PM3",35.8,1.6,2.2,40,Picco Micro Corrente,0.375,1.3,0.396,0.28,4.6,1,10,5.2,84678100,795711985479
,1137-200-0338,2499,1,"MS 194 T 3/8""P P Motosserra,30cm/12""",31.8,1.4,1.9,30R,Picco Micro Mini,3/8,1.1,0.27,0.22,3.3,1,10,5.2,84678100,886661960361
,1148-200-0247,1799,1,"MS 212 Motosserra,40cm/16"",63PM3",38.6,1.8,2.4,40,Picco Micro Corrente,0.375,1.3,0.396,0.28,4.6,1,10,5.2,84678100,795711985493
,1148-200-0248,1819,1,"MS 212 Motosserra,45cm/18"",63PM3",,,,45,,,,,,,1,10,5.2,84678100,795711985516
,1123-200-0864,2199,1,"MS 250 3/8""P P Motosserra,35cm/14"",63PMC",45.4,2.3,3.1,  35 R,Picco Micro,3/8,1.3,0.47,0.2,4.6,5,10,5.2,84678100,886661858132
,1123-200-0865,2239,1,"MS 250 3/8""P P Motosserra,40cm/16"",63PMC",,,,  40 R,Picco Micro,,,,,,5,10,5.2,84678100,886661858149
,1121-200-0407,2999,1,"MS 260 Motosserra,32cm/13"",26RS",50.2,2.6,3.5,  32 R,Rapid Super ,0.325,1.6,0.46,0.29,4.9,5,10,5.2,84678100,886661175307
,1121-200-0429,3029,1,"MS 260 Motosserra,40cm/16"",26RS",,,,  40 R,,,,,,,5,10,5.2,84678100,886661771097
,MB01-200-0059,3999,1,"MS 363.0 Motosserra,40cm/16"",36RS",62.6,3.5,4.7,40 S,Rapid Super,0.375,1.6,634,311,5.5,5,10,5.2,84678100,886661660742
,MB01-200-0060,4119,1,"MS 363.0 Motosserra,50cm/20"",36RS",,,,50 S,,,,,,,0,10,5.2,84678100,886661660780
,MB01-200-0061,3939,1,"MS 363.0 Motosserra,40cm/16"",36RS",,,,40 R,,,,,,,0,10,5.2,84678100,886661660803
,MB01-200-0062,3979,1,"MS 363.0 Motosserra,50cm/20"",36RS",,,,50 R,,,,,,,0,10,5.2,84678100,886661662494
,1119-200-0336,4299,1,"MS 382 3/8"" R Motosserra,33cm/13"",36RS",72.2,3.9,5.3,33 D,Rapid Super ,3/8,1.6,0.68,0.36,6.2,5,10,5.2,84678100,886661859405
,1119-200-0338,4389,1,"MS 382 3/8"" R Motosserra,40cm/16"",36RS",,,,40 D,,,,,,,0,10,5.2,84678100,886661859603
,1119-200-0337,4439,1,"MS 382 3/8"" R Motosserra,50cm/20"",36RS",,,,50 D,,,,,,,5,10,5.2,84678100,886661859436
,1119-200-0334,4399,1,"MS 382 3/8"" R Motosserra,40cm/16"",36RS",,,,40 RS,,,,,,,5,10,5.2,84678100,886661858262
,1119-200-0340,4449,1,"MS 382 3/8"" R Motosserra,50cm/20"",36RS",,,,50 RS,,,,,,,0,10,5.2,84678100,886661859634
,1119-200-0333,4319,1,"MS 382 3/8"" R Motosserra,40cm/16"",36RS",,,,40 R,,,,,,,5,10,5.2,84678100,886661858163
,1119-200-0339,4369,1,"MS 382 3/8"" R Motosserra,50cm/20"",36RS",,,,50 R,,,,,,,5,10,5.2,84678100,886661859610
,1142-200-0261,4699,1,"MS 462 Motosserra,40cm/16"",36RS",72.2,4.4,6,40 R,Rapid Micro,3/8,1.6,0.72,0.34,6,1,10,5.2,84678100,795711186432
,1142-200-0262,4769,1,"MS 462 Motosserra,50cm/20"",36RS",,,,50 R,Rapid Micro,,,,,,1,10,5.2,84678100,795711186821
,1142-200-0263,4849,1,"MS 462 Motosserra,63cm/25"",36RS",,,,63 R,Rapid Micro,,,,,,1,10,5.2,84678100,795711186838
,1144-200-0485,5099,1,"MS 661 Motosserra,50cm/20"",36RS",91.1,5.4,7.3,50 D,Rapid Micro,3/8,1.6,0.85,0.4,7.4,5,10,5.2,84678100,795711187934
,1144-200-0486,5169,1,"MS 661 Motosserra,63cm/25"",36RS",,,,63 D,,,,,,,0,10,5.2,84678100,795711187941
,1144-200-0487,5319,1,"MS 661 Motosserra,75cm/30"",36RS",,,,75 D,,,,,,,5,10,5.2,84678100,795711188016
,1208-200-0308,1319,1,"MSE 141 C-Q 127V Serra elétr.,30cm/12""",127V,1.4,,30 R,Picco Micro Mini,3/8,1.1,-,0.215,4,1,10,5.2,84672200,886661553013
,1208-200-0309,1319,1,"MSE 141 C-Q 220V Serra elétr.,30cm/12""",220V,,,30 R,Picco Micro Mini,,,,,,1,10,5.2,84672200,886661553020
,1209-200-0173,2199,1,"MSE 170 C-BQ 127V Serra elétr., 30cm/12”",127V,1.7,,30 R,Picco Micro,3/8,1.3,-,0.2,4.3,1,10,5.2,84672200,886661113712
,1209-200-0174,2199,1,"MSE 170 C-BQ 220V Serra elétr., 30cm/12”",220V,1.7,,30 R,Picco Micro,3/8,,-,0.2,4.3,1,10,5.2,84672200,886661113736
