cod_material,descricao,s,t,ncm
0781-389-3004,Lubrificante STIHL 8017 H  500 ml,0.0,10.0,27101932.0
0781-389-3010,Lubrificante 100 ml STIHL  8017 H,0.0,10.0,27101932.0
0781-389-3012,Lubrificante 20L STIHL 8017 H,0.0,10.0,27101932.0
7030-516-0000,Óleo de corrente STIHL Magnum 1L,0.0,10.0,27101932.0
7030-516-0002,Óleo de corrente STIHL Magnum 20L,0.0,10.0,27101932.0
0781-120-1027,Tubo de graxa 80 g  Multi uso,3.0,10.0,27101999.0
0781-120-1028,Tubo de graxa 80 g,1.0,10.0,27101999.0
0781-120-1118,Tubo de graxa Superlub FS 225 g Tube,3.0,10.0,27101999.0
SP e RS (Operações Internas),0.6131,,,
AC/AP/ES/GO/MS/MT/PA/RR/SC/RS,0.9435,,,
RO,0.9553,,,
AL/AM/BA/CE/DF/MA/MG/PB/PE/SP/TO,0.9672,,,
RJ/RN,1.0164,,,
PI,1.0419,,,
PR,0.9915,,,
SE,1.0667,,,
